id,company,session,score,comment
1,한빛제조,AI 리터러시 1차,5,"실습 예시가 실제 업무와 가까워서 바로 써볼 수 있을 것 같습니다."
2,한빛제조,AI 리터러시 1차,4,"강사님 설명은 좋았지만 실습 시간이 조금 더 있었으면 좋겠습니다."
3,한빛제조,AI 리터러시 1차,3,"사전 안내 메일에 준비물과 로그인 방법이 더 자세히 있었으면 좋겠습니다."
4,한빛제조,AI 리터러시 1차,5,"비개발자도 이해할 수 있게 설명해주셔서 좋았습니다."
5,한빛제조,AI 리터러시 1차,4,"팀별로 결과물을 공유하는 시간이 유익했습니다."
6,한빛제조,AI 리터러시 1차,2,"오후 세션은 속도가 빨라 따라가기 어려웠습니다."
7,한빛제조,AI 리터러시 1차,4,"업무 자동화 사례가 더 많으면 좋겠습니다."
8,한빛제조,AI 리터러시 1차,5,"강사님 피드백이 구체적이라 만족했습니다."
9,한빛제조,AI 리터러시 1차,3,"회의실 와이파이가 불안정해서 실습 중간에 끊겼습니다."
10,한빛제조,AI 리터러시 1차,4,"자료집을 교육 전에 미리 받을 수 있으면 예습에 도움이 될 것 같습니다."
11,한빛제조,AI 리터러시 1차,5,"만족도 조사 정리 실습이 우리 업무에 바로 연결되었습니다."
12,한빛제조,AI 리터러시 1차,4,"질문 시간이 충분해서 좋았습니다."

